"team","year","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded","w","l","t","pct_total","pf","pa","points_ratio","sb_wins_runups"
"Titans",2020,0.726071405422555,2464055.20224719,714706,37500000,0,89,11,5,0,0.688,491,439,1.11845102505695,NA
"Packers",2000,0,5350000,5350000,5350000,5350000,1,9,7,0,0.563,353,323,1.09287925696594,NA
"Packers",2001,0,15477000,15477000,15477000,15477000,1,12,4,0,0.75,390,266,1.46616541353383,NA
"Packers",2002,0.122475856014047,2847500,2847500,3545000,2150000,2,12,4,0,0.75,398,328,1.21341463414634,NA
"Packers",2003,0.286666666666667,3750000,3750000,5900000,1600000,2,10,6,0,0.625,442,307,1.43973941368078,NA
"Packers",2004,0.6738278421881,2327353,310000,8500000,189412,4,10,6,0,0.625,424,380,1.11578947368421,NA
"Packers",2005,0.629980732177264,2595000,515000,9500000,305000,5,4,12,0,0.25,298,344,0.866279069767442,NA
"Packers",2006,0.443574855054713,4740318.18181818,3360000,10500000,23500,11,8,8,0,0.5,301,366,0.822404371584699,NA
"Packers",2007,0.604863339706962,2981033.33333333,1027250,12216250,310000,15,13,3,0,0.813,435,291,1.49484536082474,NA
"Packers",2008,0.556259503977983,2288677.77777778,1250250,12900000,370000,18,6,10,0,0.375,419,380,1.10263157894737,NA
"Packers",2009,0.587493836626586,2781750.20833333,1201875,16275000,313000,24,11,5,0,0.688,461,297,1.55218855218855,NA
"Packers",2010,0.615420070069498,2868344.02941176,1138500,13043000,23235,34,10,6,0,0.625,388,240,1.61666666666667,1
"Packers",2011,0.617828214360861,2383018.89361702,6e+05,10962500,0,47,15,1,0,0.938,560,359,1.55988857938719,NA
"Packers",2012,0.613132977933414,1754867.79365079,540000,10937500,0,63,11,5,0,0.688,433,336,1.28869047619048,NA
"Packers",2013,0.697885537871242,2185149.06493506,630000,4e+07,23824,77,8,7,1,0.531,417,428,0.974299065420561,NA
"Packers",2014,0.668299359398418,1707800.9625,570000,14937500,12600,80,12,4,0,0.75,486,348,1.39655172413793,NA
"Packers",2015,0.644244164706929,1980100.68,598791,15100000,26400,75,10,6,0,0.625,368,323,1.13931888544892,NA
"Packers",2016,0.681950508379622,1821540.58441558,6e+05,16700000,0,77,10,6,0,0.625,432,388,1.11340206185567,NA
"Packers",2017,0.718306347050124,2056387.56470588,540000,20650000,7200,85,7,9,0,0.438,320,384,0.833333333333333,NA
"Packers",2018,0.787502805476343,2209146.39130435,555000,66900000,7600,92,6,9,1,0.406,376,400,0.94,NA
"Packers",2019,0.707105902062258,3011006.35443038,661056,29260000,40000,79,13,3,0,0.813,376,313,1.20127795527157,NA
"Packers",2020,0.731045408558023,2359737.36956522,699344,37052942,0,92,13,3,0,0.813,509,369,1.37940379403794,NA
"Panthers",2001,0,709000,709000,709000,709000,1,1,15,0,0.063,253,410,0.617073170731707,NA
"Panthers",2002,0.472173907730309,5073529.5,5073529.5,9864706,282353,2,7,9,0,0.438,258,302,0.854304635761589,NA
"Panthers",2003,0.338855305861904,3611833.33333333,4550000,5896500,389000,3,11,5,0,0.688,325,304,1.06907894736842,2
"Panthers",2004,0.282180410088465,5394500,5833500,8600000,1750000,3,7,9,0,0.438,355,339,1.04719764011799,NA
"Panthers",2005,0.597265076024348,1631300,771000,6315000,79900,9,11,5,0,0.688,391,259,1.50965250965251,NA
"Panthers",2006,0.59334208552138,2915937.5,1259500,10865000,308500,8,8,8,0,0.5,270,305,0.885245901639344,NA
"Panthers",2007,0.528676888131743,2935000,1382500,10300000,285000,12,7,9,0,0.438,267,347,0.769452449567723,NA
"Panthers",2008,0.626657520633303,2269768.125,931250,10735000,88400,16,12,4,0,0.75,414,329,1.25835866261398,NA
"Panthers",2009,0.676578222816777,2884197.22222222,602500,18183000,36400,18,8,8,0,0.5,315,308,1.02272727272727,NA
"Panthers",2010,0.584701715630594,2168299.26315789,1010000,14500000,395000,19,2,14,0,0.125,196,408,0.480392156862745,NA
"Panthers",2011,0.733326654183263,3988469.05,620256,3.4e+07,44118,40,6,10,0,0.375,406,429,0.946386946386946,NA
"Panthers",2012,0.619871873259358,1896787.64583333,602000,1.1e+07,0,48,7,9,0,0.438,357,363,0.983471074380165,NA
"Panthers",2013,0.556549617901785,1350014.79452055,630000,1e+07,96000,73,12,4,0,0.75,366,241,1.51867219917012,NA
"Panthers",2014,0.629609860918803,1369942.62962963,570000,13116000,12600,81,7,8,1,0.469,339,374,0.906417112299465,NA
"Panthers",2015,0.696496474370857,2071266.91139241,745000,3.1e+07,0,79,15,1,0,0.938,500,308,1.62337662337662,2
"Panthers",2016,0.68592035396988,1628168.63529412,6e+05,2.3e+07,0,85,6,10,0,0.375,369,402,0.917910447761194,NA
"Panthers",2017,0.700994338065684,2174770.44444444,615000,2.6e+07,0,90,11,5,0,0.688,363,327,1.11009174311927,NA
"Panthers",2018,0.654445480989583,2113041.94252874,823529,1.5e+07,15200,87,7,9,0,0.438,376,382,0.984293193717278,NA
"Panthers",2019,0.694725314794054,2249571.48837209,633920,23252000,8000,86,5,11,0,0.313,340,470,0.723404255319149,NA
"Panthers",2020,0.703680754037416,2309956.88372093,750000,2.4e+07,7500,86,5,11,0,0.313,350,402,0.870646766169154,NA
"Patriots",2000,0.542470984859359,2266036.75,1246323.5,6340000,231500,4,5,11,0,0.313,276,338,0.816568047337278,NA
"Patriots",2001,0.508488995746255,4325600,3250000,11400000,328000,5,11,5,0,0.688,371,272,1.36397058823529,NA
"Patriots",2002,0.143792325056433,3544000,3875000,4800000,2225000,5,9,7,0,0.563,381,346,1.10115606936416,1
"Patriots",2003,0.470257943352114,3623750,2237500,9125000,562500,6,14,2,0,0.875,348,238,1.46218487394958,NA
"Patriots",2004,0.44711855104281,2846875,2437500,7e+06,340000,8,14,2,0,0.875,437,260,1.68076923076923,1
"Patriots",2005,0.558385011949376,3549955.55555556,2509000,1.6e+07,284000,9,10,6,0,0.625,379,338,1.12130177514793,NA
"Patriots",2006,0.672502045978722,3494660,728300,1.6e+07,350000,10,12,4,0,0.75,385,237,1.62447257383966,NA
"Patriots",2007,0.597339986028899,3224746.15384615,6e+05,12700000,91700,13,16,0,0,1,589,274,2.14963503649635,2
"Patriots",2008,0.681510885436371,2332901.93333333,6e+05,1.4e+07,65294,15,11,5,0,0.688,410,309,1.32686084142395,NA
"Patriots",2009,0.579093051133559,2012649.85,860000,9600000,208562,20,10,6,0,0.625,427,285,1.49824561403509,NA
"Patriots",2010,0.671993206792361,3585757.22727273,1269853,26500000,245894,22,14,2,0,0.875,518,313,1.65495207667732,NA
"Patriots",2011,0.650414018805733,2262350.26666667,931000,21500000,22059,30,13,3,0,0.813,513,342,1.5,2
"Patriots",2012,0.608529893302359,2385017.74358974,929800,13350000,22941,39,12,4,0,0.75,557,331,1.68277945619335,NA
"Patriots",2013,0.666951571774815,1822439.88405797,642984,3.1e+07,0,69,12,4,0,0.75,444,338,1.31360946745562,NA
"Patriots",2014,0.608563712553925,1332517.4125,570000,1.2e+07,0,80,12,4,0,0.75,468,313,1.49520766773163,1
"Patriots",2015,0.67650088470837,1673015.93181818,639375,17937500,6600,88,12,4,0,0.75,465,315,1.47619047619048,NA
"Patriots",2016,0.640532314606896,1941340.61842105,705859,28764706,6900,76,14,2,0,0.875,441,250,1.764,1
"Patriots",2017,0.648397415409914,1949163.11111111,826812,22906250,0,90,13,3,0,0.813,458,296,1.5472972972973,2
"Patriots",2018,0.610984295760922,2021697.55172414,790000,1.5e+07,0,87,11,5,0,0.688,436,325,1.34153846153846,1
"Patriots",2019,0.603840119552622,2317474.27710843,992180,2.3e+07,24000,83,12,4,0,0.75,420,225,1.86666666666667,NA
"Patriots",2020,0.634738921000745,1571363.27,707028.5,14781000,0,100,7,9,0,0.438,326,353,0.923512747875354,NA
"Raiders",2000,0.252370721588383,1687250,1975000,2535000,264000,4,12,4,0,0.75,479,299,1.60200668896321,NA
"Raiders",2001,0.354450097355694,1592100,1500000,2762500,298000,5,10,6,0,0.625,399,327,1.22018348623853,NA
"Raiders",2002,0.140296935874487,1899400,1900000,2450000,1322000,5,11,5,0,0.688,450,304,1.48026315789474,2
"Raiders",2003,0.392280302679093,1873109.28571429,2250000,3575000,211765,7,4,12,0,0.25,270,379,0.712401055408971,NA
"Raiders",2004,0.505180510080992,3789714.28571429,2511000,8781000,240000,7,5,11,0,0.313,320,442,0.723981900452489,NA
"Raiders",2005,0.472829543647639,4716750,3275000,10537000,305000,8,4,12,0,0.25,290,383,0.757180156657963,NA
"Raiders",2006,0.58593446444761,2363571.42857143,1100000,8250000,0,7,2,14,0,0.125,168,332,0.506024096385542,NA
"Raiders",2007,0.375235296660795,1686020,1350000,4900000,360000,11,4,12,0,0.25,283,398,0.71105527638191,NA
"Raiders",2008,0.590211899260153,5562514.83333333,2562500,20275000,17353,12,5,11,0,0.313,263,388,0.677835051546392,NA
"Raiders",2009,0.632135656560769,4008468.47368421,1910000,20417500,36471,19,5,11,0,0.313,197,379,0.519788918205805,NA
"Raiders",2010,0.64107839608462,3116518.66666667,1025422.5,16592000,282353,24,8,8,0,0.5,410,371,1.10512129380054,NA
"Raiders",2011,0.600287252339593,2728381.29411765,1070688,16250000,370588,34,8,8,0,0.5,359,433,0.829099307159353,NA
"Raiders",2012,0.640105085474462,1825859.63829787,562973,1.5e+07,0,47,4,12,0,0.25,290,443,0.654627539503386,NA
"Raiders",2013,0.560287311492212,1344883.8,555000,9500000,28441,70,4,12,0,0.25,322,453,0.710816777041943,NA
"Raiders",2014,0.63078242201629,1469983.06976744,570000,12323272,6300,86,3,13,0,0.188,253,452,0.559734513274336,NA
"Raiders",2015,0.640699873814228,1667718.46987952,660000,15177268,6600,83,7,9,0,0.438,359,399,0.899749373433584,NA
"Raiders",2016,0.658697176818391,2100413.9375,675000,13500000,0,80,12,4,0,0.75,416,385,1.08051948051948,NA
"Raiders",2017,0.677102372949996,2223176.84146341,652500,25175000,0,82,6,10,0,0.375,301,373,0.806970509383378,NA
"Raiders",2018,0.702539774815682,1690907.27,572000,22500000,0,100,4,12,0,0.25,290,467,0.620985010706638,NA
"Raiders",2019,0.713905925391037,2171838.10989011,666152,21322864,8000,91,7,9,0,0.438,313,419,0.747016706443914,NA
"Raiders",2020,0.679329508646111,2926246.51162791,926152,21500000,25200,86,8,8,0,0.5,434,478,0.907949790794979,NA
"Rams",2000,0.524655613799829,4101500,2075000,11858000,398000,4,10,6,0,0.625,540,471,1.14649681528662,1
"Rams",2001,0.213064736945042,2045200,2200000,3050000,1115000,5,14,2,0,0.875,503,273,1.84249084249084,2
"Rams",2002,0.479004329004329,4331250,2550000,11595000,630000,4,7,9,0,0.438,316,369,0.856368563685637,NA
"Rams",2003,0.511730871477597,4137800,2144000,11400000,655000,5,12,4,0,0.75,447,328,1.36280487804878,NA
"Rams",2004,0.290746101410029,4283600,4805000,7021000,882000,5,8,8,0,0.5,319,392,0.813775510204082,NA
"Rams",2005,0.662306563906145,3449314.25,866441,1.8e+07,258250,8,6,10,0,0.375,363,429,0.846153846153846,NA
"Rams",2006,0.525322588871322,1000357.14285714,502500,4e+06,275000,7,8,8,0,0.5,367,381,0.963254593175853,NA
"Rams",2007,0.439064089521872,1755357.14285714,1320000,4100000,385000,7,3,13,0,0.188,263,438,0.600456621004566,NA
"Rams",2008,0.542353841096445,3163680,1553950,1.2e+07,460000,10,2,14,0,0.125,232,465,0.498924731182796,NA
"Rams",2009,0.685877143537668,2540638.75,785000,16585000,200588,12,1,15,0,0.063,175,436,0.401376146788991,NA
"Rams",2010,0.64219074995289,2983366.5625,823750,20570000,332500,16,7,9,0,0.438,289,328,0.88109756097561,NA
"Rams",2011,0.698773082663831,3599009.80952381,650000,26845000,91200,21,2,14,0,0.125,193,407,0.474201474201474,NA
"Rams",2012,0.640505078458937,1950965.41176471,540000,1.2e+07,34200,51,7,8,1,0.469,299,348,0.859195402298851,NA
"Rams",2013,0.6654577439056,1922489.77941176,580750,1.4e+07,18000,68,7,9,0,0.438,348,364,0.956043956043956,NA
"Rams",2014,0.68426502336462,1910058.41025641,577775.5,14219344,12600,78,6,10,0,0.375,324,354,0.915254237288136,NA
"Rams",2015,0.662983444170466,1628500.86746988,585000,15788756,13200,83,7,9,0,0.438,280,330,0.848484848484849,NA
"Rams",2016,0.704348514775152,1712812.57647059,575575,18968308,0,85,4,12,0,0.25,224,394,0.568527918781726,NA
"Rams",2017,0.690790563606576,2107970.53947368,639602,16742400,7200,76,11,5,0,0.688,478,329,1.45288753799392,NA
"Rams",2018,0.736093581528408,2899419.14285714,630000,40892000,0,77,13,3,0,0.813,527,384,1.37239583333333,2
"Rams",2019,0.714148416541853,2370825.72727273,645000,27459000,24000,77,9,7,0,0.563,394,364,1.08241758241758,NA
"Rams",2020,0.724332517273533,2513283.4375,686204,31042682,25200,80,10,6,0,0.625,372,296,1.25675675675676,NA
"Ravens",2000,0.298412698412698,8750000,5e+06,16500000,4750000,3,12,4,0,0.75,333,165,2.01818181818182,NA
"Ravens",2001,0.390804597701149,2416666.66666667,2e+06,4750000,5e+05,3,10,6,0,0.625,303,265,1.14339622641509,1
"Ravens",2002,0.222791293213828,6508333.33333333,5e+06,10525000,4e+06,3,7,9,0,0.438,316,354,0.892655367231638,NA
"Ravens",2003,0.46743157142329,4057150,4150000,9975000,443750,5,10,6,0,0.625,391,281,1.3914590747331,NA
"Ravens",2004,0.517707702578912,3286071.42857143,1500000,10660000,305000,7,9,7,0,0.563,317,268,1.18283582089552,NA
"Ravens",2005,0.585316174428294,3030892.85714286,685000,10665000,380000,7,6,10,0,0.375,265,299,0.88628762541806,NA
"Ravens",2006,0.448324009431782,4325800,3920000,1.2e+07,425000,10,13,3,0,0.813,353,201,1.75621890547264,NA
"Ravens",2007,0.343683270011355,3977823.07692308,5025000,6595000,360000,13,5,11,0,0.313,275,384,0.716145833333333,NA
"Ravens",2008,0.588699721052662,1901364.70588235,1005000,8475000,88400,17,11,5,0,0.688,385,244,1.57786885245902,NA
"Ravens",2009,0.671712338823736,2337225.08333333,831635,15100000,88400,24,9,7,0,0.563,391,261,1.49808429118774,NA
"Ravens",2010,0.611586508065762,3305686.88461538,1562000,24900000,348529,26,12,4,0,0.75,357,270,1.32222222222222,NA
"Ravens",2011,0.666348484893811,2640913.05263158,630000,27100000,0,38,12,4,0,0.75,378,266,1.42105263157895,NA
"Ravens",2012,0.630585466775737,2558507.87755102,865000,1.7e+07,0,49,10,6,0,0.625,398,344,1.15697674418605,1
"Ravens",2013,0.638992282848626,2083998.65151515,694348,3e+07,0,66,8,8,0,0.5,320,352,0.909090909090909,NA
"Ravens",2014,0.727290035318662,1683594.80434783,495000,2.1e+07,6300,92,10,6,0,0.625,409,302,1.35430463576159,NA
"Ravens",2015,0.670331403495885,1444946.19791667,555000,1.4e+07,6600,96,5,11,0,0.313,328,401,0.817955112219451,NA
"Ravens",2016,0.699342432920995,2007150.98913043,6e+05,4.4e+07,0,92,8,8,0,0.5,343,321,1.06853582554517,NA
"Ravens",2017,0.637052470828721,1600639.55913978,630750,1.6e+07,0,93,9,7,0,0.563,395,303,1.3036303630363,NA
"Ravens",2018,0.639462502839782,1889164.14457831,630000,1.2e+07,22800,83,10,6,0,0.625,389,287,1.35540069686411,NA
"Ravens",2019,0.684183820339936,2215383.74117647,645000,2.2e+07,0,85,14,2,0,0.875,531,282,1.88297872340426,NA
"Ravens",2020,0.713970736765477,2372442.14444444,750000,30866000,0,90,11,5,0,0.688,468,303,1.54455445544554,NA
"Washington",2000,0.41388022793248,4650500,4650500,8500000,801000,2,8,8,0,0.5,281,269,1.04460966542751,NA
"Washington",2001,0,1235000,1235000,1235000,1235000,1,8,8,0,0.5,256,303,0.844884488448845,NA
"Washington",2002,0,1669000,1669000,1669000,1669000,1,7,9,0,0.438,307,365,0.841095890410959,NA
"Washington",2003,0.438839285714286,1120000,1120000,2103000,137000,2,5,11,0,0.313,287,372,0.771505376344086,NA
"Washington",2004,0.388493680898244,7607058.66666667,9360000,13380000,81176,3,6,10,0,0.375,240,265,0.905660377358491,NA
"Washington",2005,0.467119371215905,1356226.85714286,1190000,3540000,40588,7,10,6,0,0.625,359,293,1.22525597269625,NA
"Washington",2006,0.551898427412179,3260333.33333333,3585000,8910000,4700,9,5,11,0,0.313,307,376,0.816489361702128,NA
"Washington",2007,0.56085969501061,3039450,1938500,11410000,285000,10,9,7,0,0.563,334,310,1.07741935483871,NA
"Washington",2008,0.621510357791449,1965442.92857143,714425,10430500,78529,14,8,8,0,0.5,265,296,0.89527027027027,NA
"Washington",2009,0.536462866956864,3078465.41176471,1402500,1.1e+07,109412,17,4,12,0,0.25,266,336,0.791666666666667,NA
"Washington",2010,0.663808047128395,4805647.33333333,959250,23752941,112941,24,6,10,0,0.375,302,377,0.80106100795756,NA
"Washington",2011,0.637301613155663,2506052.325,753626,13504471,22059,40,5,11,0,0.313,288,367,0.784741144414169,NA
"Washington",2012,0.630513557305711,2178878.34545455,7e+05,14189344,22800,55,10,6,0,0.625,436,388,1.12371134020619,NA
"Washington",2013,0.520024321966435,1286781.92,630000,6e+06,6000,75,3,13,0,0.188,334,478,0.698744769874477,NA
"Washington",2014,0.6634709376545,1588813.61728395,580041,11455000,6300,81,4,12,0,0.25,301,438,0.687214611872146,NA
"Washington",2015,0.677560977579379,1859847.19318182,595000,19038000,6600,88,9,7,0,0.563,388,379,1.02374670184697,NA
"Washington",2016,0.703089353207814,1948258.8875,6e+05,2e+07,6900,80,8,7,1,0.531,396,383,1.03394255874674,NA
"Washington",2017,0.722796843637433,1869805.44329897,612180,23943600,0,97,7,9,0,0.438,342,388,0.881443298969072,NA
"Washington",2018,0.746738063381443,1884453.13541667,555000,4e+07,7600,96,7,9,0,0.438,281,359,0.782729805013928,NA
"Washington",2019,0.702611905866641,1876193.93548387,638235,15825000,16000,93,3,13,0,0.188,266,435,0.611494252873563,NA
"Washington",2020,0.709159499787361,2202810.60215054,681451,23307160,0,93,7,9,0,0.438,335,329,1.01823708206687,NA
"Saints",2004,0,3050000,3050000,3050000,3050000,1,8,8,0,0.5,348,405,0.859259259259259,NA
"Saints",2005,0.496157095745551,1834550,1834550,3655000,14100,2,3,13,0,0.188,235,398,0.590452261306533,NA
"Saints",2006,0.658745890778795,2140247.4,560650,1e+07,105600,10,10,6,0,0.625,413,322,1.28260869565217,NA
"Saints",2007,0.699033419051735,2896435,595860,1.5e+07,290000,12,7,9,0,0.438,379,388,0.97680412371134,NA
"Saints",2008,0.619749064429754,2562341,482500,12700000,104706,16,8,8,0,0.5,463,393,1.17811704834606,NA
"Saints",2009,0.589851727016424,2444106.75,1470000,10001000,18235,20,13,3,0,0.813,510,341,1.49560117302053,1
"Saints",2010,0.5984217273637,3508336.52173913,1759000,19200000,60000,23,11,5,0,0.688,384,307,1.25081433224756,NA
"Saints",2011,0.531994994226629,2413564.67647059,1046661.5,1e+07,62700,34,13,3,0,0.813,547,339,1.61356932153392,NA
"Saints",2012,0.664939933177982,3125487.60416667,719276,4e+07,32941,48,7,9,0,0.438,461,454,1.01541850220264,NA
"Saints",2013,0.589855287254409,1644241.58571429,727500,1e+07,0,70,11,5,0,0.688,414,304,1.36184210526316,NA
"Saints",2014,0.675109136285132,1548157.75949367,548324,1.3e+07,6300,79,7,9,0,0.438,401,424,0.945754716981132,NA
"Saints",2015,0.697129050697656,1614393.63953488,524866,1.9e+07,6600,86,7,9,0,0.438,408,476,0.857142857142857,NA
"Saints",2016,0.689975089384372,1813586.36046512,617647,31250000,0,86,7,9,0,0.438,469,454,1.03303964757709,NA
"Saints",2017,0.679080373030915,1634539.22826087,540000,1.3e+07,0,92,11,5,0,0.688,448,326,1.37423312883436,NA
"Saints",2018,0.680430529323738,2107777.27848101,630000,2.7e+07,0,79,13,3,0,0.813,504,353,1.42776203966006,NA
"Saints",2019,0.68594487498677,2495279.9,703976,2.3e+07,8000,80,13,3,0,0.813,458,341,1.34310850439883,NA
"Saints",2020,0.696379139982879,2714388.97802198,809000,2.5e+07,0,91,12,4,0,0.75,482,337,1.43026706231454,NA
"Seahawks",2000,0.0967269770200788,3487479.33333333,3844438,4068000,2550000,3,6,10,0,0.375,320,405,0.790123456790123,NA
"Seahawks",2001,0.432556583788605,2690700,1600000,6500000,498000,5,9,7,0,0.563,301,324,0.929012345679012,NA
"Seahawks",2002,0.263043955296949,3354044,3920588,5e+06,575000,4,7,9,0,0.438,355,369,0.962059620596206,NA
"Seahawks",2003,0.303274877109074,3763500,4250000,5904000,650000,4,10,6,0,0.625,404,327,1.23547400611621,NA
"Seahawks",2004,0.362967033413336,3802776.33333333,3450000,7084800,873529,3,9,7,0,0.563,371,373,0.994638069705094,NA
"Seahawks",2005,0.196437564403536,14341000,17700000,1.9e+07,6323000,3,13,3,0,0.813,452,271,1.66789667896679,2
"Seahawks",2006,0.437186284906327,5658000,4e+06,15125000,665000,5,9,7,0,0.563,335,341,0.982404692082111,NA
"Seahawks",2007,0.414677066874243,2744500.42857143,2750000,6e+06,360000,7,10,6,0,0.625,393,291,1.35051546391753,NA
"Seahawks",2008,0.556252034602062,1920924.09090909,736500,6750000,295000,11,4,12,0,0.25,294,392,0.75,NA
"Seahawks",2009,0.503883776873129,1857687.5,1335000,6250000,385000,16,5,11,0,0.313,280,390,0.717948717948718,NA
"Seahawks",2010,0.639814964148429,2254631.17391304,880000,20451250,69706,23,7,9,0,0.438,310,407,0.761670761670762,NA
"Seahawks",2011,0.669426800485572,1796648.19565217,522938,16600000,22800,46,7,9,0,0.438,321,315,1.01904761904762,NA
"Seahawks",2012,0.609843392717529,2270592.45283019,540000,1e+07,5700,53,11,5,0,0.688,412,245,1.68163265306122,NA
"Seahawks",2013,0.637286277771272,1906475.52857143,555000,14500000,36000,70,13,3,0,0.813,417,231,1.80519480519481,1
"Seahawks",2014,0.694149104863801,1588420.97701149,570000,14225000,0,87,12,4,0,0.75,394,254,1.5511811023622,2
"Seahawks",2015,0.730502515908626,1830908.51807229,577133,31700000,6600,83,10,6,0,0.625,423,277,1.52707581227437,NA
"Seahawks",2016,0.715175108667845,1692534.18947368,525000,12687500,0,95,10,5,1,0.656,354,292,1.21232876712329,NA
"Seahawks",2017,0.67566832016162,1913553.89473684,615000,13182817,14400,95,9,7,0,0.563,366,332,1.10240963855422,NA
"Seahawks",2018,0.67928276647859,2065097.40909091,630000,15500000,0,88,10,6,0,0.625,428,347,1.23342939481268,NA
"Seahawks",2019,0.732804848933881,2674001.7826087,720000,7e+07,0,92,11,5,0,0.688,405,398,1.01758793969849,NA
"Seahawks",2020,0.659513157337789,2059969.76923077,750000,1.8e+07,0,91,12,4,0,0.75,459,371,1.23719676549865,NA
"Steelers",2000,0.282945736434109,2866666.66666667,3200000,4525000,875000,3,9,7,0,0.563,321,255,1.25882352941176,NA
"Steelers",2001,0.339263803680982,4075000,4075000,6840000,1310000,2,13,3,0,0.813,352,212,1.66037735849057,NA
"Steelers",2002,0.663495242627908,1864138.4,252750,6525000,26471,5,10,5,1,0.656,390,345,1.1304347826087,NA
"Steelers",2003,0.371194610604565,1721900,2174000,2990000,145000,5,6,10,0,0.375,300,327,0.917431192660551,NA
"Steelers",2004,0.522329830614805,1594000,890000,4455000,230000,8,15,1,0,0.938,372,251,1.48207171314741,NA
"Steelers",2005,0.644071992984381,1886312.81818182,656000,9494000,23500,11,11,5,0,0.688,389,258,1.5077519379845,1
"Steelers",2006,0.397372095561014,2142113.42857143,1811500,5585000,145588,14,8,8,0,0.5,353,315,1.12063492063492,NA
"Steelers",2007,0.541249363082508,2327929.41176471,1399000,11575000,360000,17,10,6,0,0.625,393,269,1.46096654275093,NA
"Steelers",2008,0.647559682391333,3506088.23529412,1417000,27700000,370000,17,12,4,0,0.75,347,223,1.55605381165919,1
"Steelers",2009,0.593375354003724,3232246.875,1121337.5,13350000,0,24,9,7,0,0.563,368,324,1.1358024691358,NA
"Steelers",2010,0.536144922217162,2669394.65384615,1282000,9248000,0,26,12,4,0,0.75,375,232,1.61637931034483,2
"Steelers",2011,0.632702517853065,3407020.19444444,838100,18100000,0,36,12,4,0,0.75,325,227,1.43171806167401,NA
"Steelers",2012,0.614965389087963,2396792.97916667,755562.5,15650000,0,48,8,8,0,0.5,336,314,1.07006369426752,NA
"Steelers",2013,0.604642698265486,1520887.43661972,630000,11600000,0,71,8,8,0,0.5,379,370,1.02432432432432,NA
"Steelers",2014,0.639691094952282,1978751.5,795000,1.4e+07,18900,70,11,5,0,0.688,436,368,1.18478260869565,NA
"Steelers",2015,0.669460262516779,1854513.13793103,745000,35250000,30000,87,10,6,0,0.625,423,319,1.32601880877743,NA
"Steelers",2016,0.690224691786732,1769544.94117647,6e+05,18070000,0,85,11,5,0,0.688,399,327,1.22018348623853,NA
"Steelers",2017,0.660652175195525,2252210.09459459,625385.5,19910000,0,74,13,3,0,0.813,406,308,1.31818181818182,NA
"Steelers",2018,0.662199926516363,2181273.65853659,673358.5,1.7e+07,0,82,9,6,1,0.594,428,360,1.18888888888889,NA
"Steelers",2019,0.725590404037368,2614121.96296296,658267,4.5e+07,8000,81,8,8,0,0.5,289,303,0.953795379537954,NA
"Steelers",2020,0.690620506803624,2154448.51724138,750000,21750000,0,87,12,4,0,0.75,416,312,1.33333333333333,NA
"Texans",2002,0.125523012552301,9560000,9560000,11960000,7160000,2,4,12,0,0.25,213,356,0.598314606741573,NA
"Texans",2003,0.233675715333822,6815000,6815000,1e+07,3630000,2,5,11,0,0.313,255,380,0.671052631578947,NA
"Texans",2004,0.283565253401284,3375875.75,3905501.5,5032500,660000,4,7,9,0,0.438,309,339,0.911504424778761,NA
"Texans",2005,0.47771248660276,5166875.75,3006251.5,13500000,1155000,4,2,14,0,0.125,260,431,0.603248259860789,NA
"Texans",2006,0.525269067266233,3103801,1502001.5,8050000,56405,8,6,10,0,0.375,267,366,0.729508196721312,NA
"Texans",2007,0.638307361304647,3497849,510000,12975000,67059,9,8,8,0,0.5,379,384,0.986979166666667,NA
"Texans",2008,0.538303460443482,3463750,2627500,11175000,370000,12,8,8,0,0.5,366,394,0.928934010152284,NA
"Texans",2009,0.611705390463636,4048259.54545455,1632500,1.7e+07,127647,22,9,7,0,0.563,388,333,1.16516516516517,NA
"Texans",2010,0.600618857843189,2887274.1,954300,14500000,110588,30,6,10,0,0.375,390,427,0.913348946135831,NA
"Texans",2011,0.613029901007535,2944943.07317073,8e+05,1.8e+07,123529,41,10,6,0,0.625,381,278,1.3705035971223,NA
"Texans",2012,0.684094369821074,2728894.24528302,715000,22450000,57000,53,12,4,0,0.75,416,331,1.25679758308157,NA
"Texans",2013,0.63895182443094,1455020.02666667,555000,10500000,0,75,2,14,0,0.125,276,428,0.644859813084112,NA
"Texans",2014,0.688506180194238,1503464.04651163,570000,14938544,12600,86,9,7,0,0.563,372,307,1.21172638436482,NA
"Texans",2015,0.691273614975975,1942222.55294118,585000,19969000,6600,85,9,7,0,0.563,339,313,1.08306709265176,NA
"Texans",2016,0.667380220831577,1931596.81521739,604615,2.1e+07,20700,92,9,7,0,0.563,279,328,0.850609756097561,NA
"Texans",2017,0.703647737196547,1561665.78787879,534216,2.4e+07,0,99,4,12,0,0.25,338,436,0.775229357798165,NA
"Texans",2018,0.65234717280301,2243263.73255814,747500,13306000,0,86,11,5,0,0.688,402,316,1.27215189873418,NA
"Texans",2019,0.622645678150333,2342500.83908046,871522,13750000,0,87,10,6,0,0.625,378,385,0.981818181818182,NA
"Texans",2020,0.70446090220846,2753477.04347826,750000,29354247,24000,92,4,12,0,0.25,384,464,0.827586206896552,NA
"Vikings",2000,0.350195544975344,2940500,2940500,5e+06,881000,2,11,5,0,0.688,397,371,1.07008086253369,NA
"Vikings",2001,0,10610000,10610000,10610000,10610000,1,5,11,0,0.313,290,390,0.743589743589744,NA
