"year","team","cash_paid","name","position","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded"
2013,"Jaguars",4950000,"Maurice Jones-Drew","running-back",0.663272470439679,1327376.49350649,533820,14204344,12000,77
2014,"Raiders",2500000,"Maurice Jones-Drew","running-back",0.63078242201629,1469983.06976744,570000,12323272,6300,86
2017,"Bengals",2568752,"Joe Mixon","running-back",0.673927181055319,1984732.80246914,638000,14968750,7200,81
2018,"Bengals",712735,"Joe Mixon","running-back",0.711592305505476,2210254.15662651,630000,25500000,15200,83
2019,"Bengals",960470,"Joe Mixon","running-back",0.660870015633993,2533120.64473684,720000,16200000,16000,76
2020,"Bengals",11325000,"Joe Mixon","running-back",0.695544295078113,2615991.50588235,750000,24490100,8400,85
2008,"Panthers",1895000,"Jonathan Stewart","running-back",0.626657520633303,2269768.125,931250,10735000,88400,16
2009,"Panthers",6293750,"Jonathan Stewart","running-back",0.676578222816777,2884197.22222222,602500,18183000,36400,18
2010,"Panthers",2815000,"Jonathan Stewart","running-back",0.584701715630594,2168299.26315789,1010000,14500000,395000,19
2011,"Panthers",1310000,"Jonathan Stewart","running-back",0.733326654183263,3988469.05,620256,3.4e+07,44118,40
2012,"Panthers",9811250,"Jonathan Stewart","running-back",0.619871873259358,1896787.64583333,602000,1.1e+07,0,48
2013,"Panthers",3215000,"Jonathan Stewart","running-back",0.556549617901785,1350014.79452055,630000,1e+07,96000,73
2014,"Panthers",8285000,"Jonathan Stewart","running-back",0.629609860918803,1369942.62962963,570000,13116000,12600,81
2015,"Panthers",4500000,"Jonathan Stewart","running-back",0.696496474370857,2071266.91139241,745000,3.1e+07,0,79
2016,"Panthers",5750000,"Jonathan Stewart","running-back",0.68592035396988,1628168.63529412,6e+05,2.3e+07,0,85
2017,"Panthers",4218750,"Jonathan Stewart","running-back",0.700994338065684,2174770.44444444,615000,2.6e+07,0,90
2018,"Giants",3125000,"Jonathan Stewart","running-back",0.732968679144188,2060503.11494253,555000,2.2e+07,7600,87
2008,"Raiders",2625000,"Darren McFadden","running-back",0.590211899260153,5562514.83333333,2562500,20275000,17353,12
2009,"Raiders",20417500,"Darren McFadden","running-back",0.632135656560769,4008468.47368421,1910000,20417500,36471,19
2010,"Raiders",470000,"Darren McFadden","running-back",0.64107839608462,3116518.66666667,1025422.5,16592000,282353,24
2011,"Raiders",7045000,"Darren McFadden","running-back",0.600287252339593,2728381.29411765,1070688,16250000,370588,34
2012,"Raiders",5630000,"Darren McFadden","running-back",0.640105085474462,1825859.63829787,562973,1.5e+07,0,47
2013,"Raiders",5826250,"Darren McFadden","running-back",0.560287311492212,1344883.8,555000,9500000,28441,70
2014,"Raiders",1750000,"Darren McFadden","running-back",0.63078242201629,1469983.06976744,570000,12323272,6300,86
2015,"Cowboys",1550000,"Darren McFadden","running-back",0.706892862539995,1808069.11494253,625000,2.3e+07,6600,87
2016,"Cowboys",1343750,"Darren McFadden","running-back",0.621497816408949,1860209.75294118,750000,16800064,0,85
2008,"Ravens",1405000,"Ray Rice","running-back",0.588699721052662,1901364.70588235,1005000,8475000,88400,17
2009,"Ravens",385000,"Ray Rice","running-back",0.671712338823736,2337225.08333333,831635,15100000,88400,24
2010,"Ravens",814000,"Ray Rice","running-back",0.611586508065762,3305686.88461538,1562000,24900000,348529,26
2011,"Ravens",6e+05,"Ray Rice","running-back",0.666348484893811,2640913.05263158,630000,27100000,0,38
2012,"Ravens",1.7e+07,"Ray Rice","running-back",0.630585466775737,2558507.87755102,865000,1.7e+07,0,49
2013,"Ravens",8e+06,"Ray Rice","running-back",0.638992282848626,2083998.65151515,694348,3e+07,0,66
2005,"Chargers",622000,"Darren Sproles","running-back",0.473572603289244,3623970.625,3302500,8078000,71765,8
2006,"Chargers",195000,"Darren Sproles","running-back",0.490046616510518,1757670.09090909,983000,4250000,79900,11
2007,"Chargers",385000,"Darren Sproles","running-back",0.56542690367694,2417192.30769231,683500,10375000,285000,13
2008,"Chargers",1100000,"Darren Sproles","running-back",0.553832902670111,1658571.42857143,626250,6100000,215000,14
2009,"Chargers",6621000,"Darren Sproles","running-back",0.630332562386404,3627843.75,1365000,25550000,385000,16
2010,"Chargers",7283100,"Darren Sproles","running-back",0.560191511612713,3257469.94117647,1664000,12600000,280824,17
2011,"Saints",4e+06,"Darren Sproles","running-back",0.531994994226629,2413564.67647059,1046661.5,1e+07,62700,34
2012,"Saints",3500000,"Darren Sproles","running-back",0.664939933177982,3125487.60416667,719276,4e+07,32941,48
2013,"Saints",3e+06,"Darren Sproles","running-back",0.589855287254409,1644241.58571429,727500,1e+07,0,70
2014,"Eagles",4100000,"Darren Sproles","running-back",0.589596127002213,2008595.47058824,740000,1.2e+07,50000,85
2015,"Eagles",3100000,"Darren Sproles","running-back",0.64593784836611,1901882.60674157,657354,13500000,6600,89
2016,"Eagles",4e+06,"Darren Sproles","running-back",0.689568457228821,2737490.01149425,675000,27299000,26471,87
2017,"Eagles",4e+06,"Darren Sproles","running-back",0.617654360404874,2416378.25,842500,16250000,7200,84
2018,"Eagles",1415000,"Darren Sproles","running-back",0.642193704447163,2176567.27058824,697059,11500000,10000,85
2019,"Eagles",1330000,"Darren Sproles","running-back",0.674644484527342,2930572.05063291,720000,17087683,0,79
2011,"Cowboys",1037500,"DeMarco Murray","running-back",0.651020677683261,2779088.58064516,828600,14032000,0,31
2012,"Cowboys",510156,"DeMarco Murray","running-back",0.62666100689631,2348520.4047619,886112,11200000,0,42
2013,"Cowboys",645313,"DeMarco Murray","running-back",0.677908109351081,2064243.12698413,645313,26500000,56471,63
2014,"Cowboys",1431000,"DeMarco Murray","running-back",0.656701979001834,1345739.025,570000,13500000,0,80
2015,"Eagles",9e+06,"DeMarco Murray","running-back",0.64593784836611,1901882.60674157,657354,13500000,6600,89
2016,"Titans",6700000,"DeMarco Murray","running-back",0.570405167298453,1943999.36842105,1123530,10211932,6900,76
2017,"Titans",6250000,"DeMarco Murray","running-back",0.610583762713411,2374720.61842105,1085644,17073908,0,76
2008,"Chiefs",895000,"Jamaal Charles","running-back",0.605955488052471,1619766.86666667,650000,6753250,46800,15
2009,"Chiefs",385000,"Jamaal Charles","running-back",0.653125953516921,3034162.2,870000,1.6e+07,335250,15
2010,"Chiefs",8470000,"Jamaal Charles","running-back",0.579107302216734,4138485.26315789,1860000,13575000,395000,19
2011,"Chiefs",3600000,"Jamaal Charles","running-back",0.579978000635734,3846215.58064516,1835000,18975000,91200,31
2012,"Chiefs",3500000,"Jamaal Charles","running-back",0.612630282351834,2170329.45,540000,10838235,0,40
2013,"Chiefs",3e+06,"Jamaal Charles","running-back",0.652054635606886,2234726.02816901,601083,1.6e+07,0,71
2014,"Chiefs",8300000,"Jamaal Charles","running-back",0.673891934036288,1726727.94117647,570000,1.9e+07,6300,85
2015,"Chiefs",6012500,"Jamaal Charles","running-back",0.678106097826058,1822696.29268293,569038,21500000,0,82
2016,"Chiefs",5187500,"Jamaal Charles","running-back",0.688902595899519,2003410.64285714,6e+05,1.5e+07,0,84
2017,"Broncos",2500000,"Jamaal Charles","running-back",0.691453517663339,1916189.39325843,615000,16500000,0,89
2014,"Falcons",904424,"Devonta Freeman","running-back",0.665302118853452,2052719.34615385,695618,21500000,6300,78
2015,"Falcons",510000,"Devonta Freeman","running-back",0.661942237902348,1707503.24,585000,2.2e+07,6600,75
2016,"Falcons",6e+05,"Devonta Freeman","running-back",0.659740732034701,1787920.92405063,675000,15750000,0,79
2017,"Falcons",16297000,"Devonta Freeman","running-back",0.664808049598708,2392347.16216216,690000,16526000,0,74
2018,"Falcons",2e+06,"Devonta Freeman","running-back",0.710507494795479,2807568.12820513,904700,52500000,15200,78
2019,"Falcons",3750000,"Devonta Freeman","running-back",0.718741038185719,2896300.03614458,805000,26500000,8000,83
2020,"Giants",1044118,"Devonta Freeman","running-back",0.686391382476286,2392617.51764706,750000,21694064,0,85
2012,"Buccaneers",3766384,"Doug Martin","running-back",0.720055889806387,2673412.08695652,540000,25160000,54706,46
2013,"Buccaneers",698524,"Doug Martin","running-back",0.629842295287338,1353488.96153846,630000,1.6e+07,12000,78
2014,"Buccaneers",1007048,"Doug Martin","running-back",0.712504287491898,1639543.27848101,532000,20300000,12600,79
2015,"Buccaneers",1315572,"Doug Martin","running-back",0.677479308867078,1456591.68292683,585000,17132292,6600,82
2016,"Buccaneers",7764706,"Doug Martin","running-back",0.665944288725703,1798802.02352941,6e+05,12500000,6900,85
2017,"Buccaneers",5764706,"Doug Martin","running-back",0.667218111089086,1687932.65909091,652500,13250000,7200,88
2018,"Raiders",1475000,"Doug Martin","running-back",0.702539774815682,1690907.27,572000,22500000,0,100
2018,"Giants",21247092,"Saquon Barkley","running-back",0.732968679144188,2060503.11494253,555000,2.2e+07,7600,87
2019,"Giants",1897943,"Saquon Barkley","running-back",0.702888623882584,2189799.75949367,645000,17179768,8000,79
2020,"Giants",3405886,"Saquon Barkley","running-back",0.686391382476286,2392617.51764706,750000,21694064,0,85
2016,"Dolphins",1271260,"Kenyan Drake","running-back",0.689398306649959,1943114.43209877,6e+05,23500000,0,81
2017,"Dolphins",595000,"Kenyan Drake","running-back",0.668264938179009,2034789.7804878,678474,1.8e+07,14400,82
2018,"Dolphins",705000,"Kenyan Drake","running-back",0.659443310138473,2211129.90123457,705000,17500000,30000,81
2019,"Cardinals",1072059,"Kenyan Drake","running-back",0.704999284600278,2121576.85185185,645000,24084924,0,81
2020,"Cardinals",8483000,"Kenyan Drake","running-back",0.69725131407602,2672410.21176471,750000,2.9e+07,16800,85
2012,"Browns",13731672,"Trent Richardson","running-back",0.661064701537238,2021497.93617021,565000,13731672,0,47
2013,"Colts",1321354,"Trent Richardson","running-back",0.614731436348196,1804939.64556962,630000,15500000,23824,79
2014,"Colts",2252708,"Trent Richardson","running-back",0.589117098620509,1484243.1686747,575000,1e+07,0,83
2014,"Vikings",907471,"Jerick McKinnon","running-back",0.658133208015947,1650858.36842105,570000,1.3e+07,12600,76
2015,"Vikings",520000,"Jerick McKinnon","running-back",0.619818269194894,1667115.2,661356,1.3e+07,0,80
2016,"Vikings",610000,"Jerick McKinnon","running-back",0.626605927256382,1887902.51219512,651555,15278000,6900,82
2017,"Vikings",7e+05,"Jerick McKinnon","running-back",0.691586048848528,2382499.71604938,690000,20026000,21600,81
2018,"49ers",11750000,"Jerick McKinnon","running-back",0.721387152918069,2464937.69047619,681500,41950000,15200,84
2019,"49ers",3750000,"Jerick McKinnon","running-back",0.701952581648614,2436659.94382022,663137,22916356,0,89
2020,"49ers",1160000,"Jerick McKinnon","running-back",0.722758384910332,2260501.51851852,719765.5,25200000,8400,108
2012,"Dolphins",876000,"Lamar Miller","running-back",0.55237699290774,2300175.42857143,927478,11200000,275294,42
2013,"Dolphins",480000,"Lamar Miller","running-back",0.618612923162374,2333675.93939394,782500,13746672,65294,66
2014,"Dolphins",570000,"Lamar Miller","running-back",0.640950319893614,1659745.6547619,576400,15050000,6300,84
2015,"Dolphins",1542000,"Lamar Miller","running-back",0.742977932457942,1846693.48101266,534840,26500000,0,79
2016,"Texans",8500000,"Lamar Miller","running-back",0.667380220831577,1931596.81521739,604615,2.1e+07,20700,92
2017,"Texans",5500000,"Lamar Miller","running-back",0.703647737196547,1561665.78787879,534216,2.4e+07,0,99
2018,"Texans",5703125,"Lamar Miller","running-back",0.65234717280301,2243263.73255814,747500,13306000,0,86
2019,"Texans",5500000,"Lamar Miller","running-back",0.622645678150333,2342500.83908046,871522,13750000,0,87
2020,"Washington",185294,"Lamar Miller","running-back",0.709159499787361,2202810.60215054,681451,23307160,0,93
2010,"Saints",325000,"Chris Ivory","running-back",0.5984217273637,3508336.52173913,1759000,19200000,60000,23
2011,"Saints",377118,"Chris Ivory","running-back",0.531994994226629,2413564.67647059,1046661.5,1e+07,62700,34
2012,"Saints",619200,"Chris Ivory","running-back",0.664939933177982,3125487.60416667,719276,4e+07,32941,48
2013,"Jets",3e+06,"Chris Ivory","running-back",0.616127194706632,1471437.61333333,588235,1.1e+07,24000,75
2014,"Jets",1e+06,"Chris Ivory","running-back",0.593824619188226,1387784.76,645000,1e+07,12600,75
2015,"Jets",2e+06,"Chris Ivory","running-back",0.642943148961292,1995070.14285714,825000,1.6e+07,13200,77
2016,"Jaguars",7500000,"Chris Ivory","running-back",0.674348645527546,2021610.63218391,6e+05,1.8e+07,6900,87
2017,"Jaguars",5e+06,"Chris Ivory","running-back",0.706602207205817,1935208.84042553,615000,18351096,0,94
2018,"Bills",3156250,"Chris Ivory","running-back",0.659119511919352,1790773.2125,679691,17100000,22800,80
2017,"Jaguars",18351096,"Leonard Fournette","running-back",0.706602207205817,1935208.84042553,615000,18351096,0,94
2018,"Jaguars",1599182,"Leonard Fournette","running-back",0.731448001298558,2319927.48351648,630000,2e+07,0,91
2019,"Jaguars",2933262,"Leonard Fournette","running-back",0.731248581241681,2200142.04494382,570000,30125000,16000,89
2020,"Buccaneers",2e+06,"Leonard Fournette","running-back",0.724359674342113,2605014.61363636,750000,27875000,0,88
2015,"Chargers",6454828,"Melvin Gordon","running-back",0.735950432160008,1863272.3372093,585000,37500000,6600,86
2016,"Chargers",919989,"Melvin Gordon","running-back",0.690726458148403,1877167.05376344,579680,17467216,20700,93
2017,"Chargers",1404978,"Melvin Gordon","running-back",0.696746788359667,1807181.88505747,615000,22750000,7200,87
2018,"Chargers",1889967,"Melvin Gordon","running-back",0.676709959258604,1874402.77906977,630000,1.5e+07,7600,86
2019,"Chargers",4615882,"Melvin Gordon","running-back",0.674723420693439,1928206.82758621,645000,1.7e+07,24000,87
2020,"Broncos",9e+06,"Melvin Gordon","running-back",0.703336265485936,2386588.14893617,742500,2e+07,0,94
2005,"Giants",79900,"Ryan Grant","running-back",0.519180246348558,3246271.42857143,1840000,9305000,79900,7
2006,"Giants",325000,"Ryan Grant","running-back",0.601433790221235,2138562.5,879812.5,10150000,325000,10
2007,"Packers",310000,"Ryan Grant","running-back",0.604863339706962,2981033.33333333,1027250,12216250,310000,15
2008,"Packers",4265000,"Ryan Grant","running-back",0.556259503977983,2288677.77777778,1250250,12900000,370000,18
2009,"Packers",4250000,"Ryan Grant","running-back",0.587493836626586,2781750.20833333,1201875,16275000,313000,24
2010,"Packers",5765625,"Ryan Grant","running-back",0.615420070069498,2868344.02941176,1138500,13043000,23235,34
2011,"Packers",4500000,"Ryan Grant","running-back",0.617828214360861,2383018.89361702,6e+05,10962500,0,47
2012,"Packers",176470,"Ryan Grant","running-back",0.613132977933414,1754867.79365079,540000,10937500,0,63
2010,"Bills",3791667,"C.J. Spiller","running-back",0.501412246535159,1461564.61904762,790000,5100000,110588,21
2011,"Bills",9622919,"C.J. Spiller","running-back",0.659856791740349,2284825.45454545,790908,13716672,22059,33
2012,"Bills",1352917,"C.J. Spiller","running-back",0.676130303591388,2299879.11363636,627500,2.5e+07,45882,44
2013,"Bills",1550834,"C.J. Spiller","running-back",0.629306105535102,1824800.35483871,620572.5,15400000,23824,62
2014,"Bills",3748750,"C.J. Spiller","running-back",0.625523714473296,1828827.04054054,635608.5,13400000,18900,74
2015,"Saints",5750000,"C.J. Spiller","running-back",0.697129050697656,1614393.63953488,524866,1.9e+07,6600,86
2017,"Chiefs",0,"C.J. Spiller","running-back",0.697390716125705,1934379.80434783,690000,20900000,0,92
2007,"Giants",321725,"Ahmad Bradshaw","running-back",0.62298234747843,3184672.5,1002500,15950000,321725,10
2008,"Giants",370000,"Ahmad Bradshaw","running-back",0.579296135427108,4489500,1350000,14890000,370000,10
2009,"Giants",460000,"Ahmad Bradshaw","running-back",0.601658320586997,4337019.6,2100000,20500000,45294,15
2010,"Giants",1001000,"Ahmad Bradshaw","running-back",0.523888612616702,4106696.3125,2912500,19500000,0,16
2011,"Giants",6500000,"Ahmad Bradshaw","running-back",0.559468076711937,2813154.18181818,950252,9614000,96900,33
2012,"Giants",3250000,"Ahmad Bradshaw","running-back",0.595491664862492,2335610.2173913,787826,11250000,22941,46
2013,"Colts",1471875,"Ahmad Bradshaw","running-back",0.614731436348196,1804939.64556962,630000,15500000,23824,79
2014,"Colts",702529,"Ahmad Bradshaw","running-back",0.589117098620509,1484243.1686747,575000,1e+07,0,83
2015,"Colts",487059,"Ahmad Bradshaw","running-back",0.66966488349321,1896102.41860465,619000,1.8e+07,6600,86
2006,"Bills",79900,"Fred Jackson","running-back",0.503961294969348,2103092.25,1859000,5231250,20588,8
2007,"Bills",285000,"Fred Jackson","running-back",0.499435976834551,3072645.44444444,1868000,8703750,285000,9
2008,"Bills",370000,"Fred Jackson","running-back",0.468973031157307,2295048.18181818,1467000,6688750,349030,11
2009,"Bills",2250000,"Fred Jackson","running-back",0.435807972031862,1901896,1870000,6241250,178235,14
2010,"Bills",1495000,"Fred Jackson","running-back",0.501412246535159,1461564.61904762,790000,5100000,110588,21
2011,"Bills",1900000,"Fred Jackson","running-back",0.659856791740349,2284825.45454545,790908,13716672,22059,33
2012,"Bills",5405000,"Fred Jackson","running-back",0.676130303591388,2299879.11363636,627500,2.5e+07,45882,44
2013,"Bills",2850000,"Fred Jackson","running-back",0.629306105535102,1824800.35483871,620572.5,15400000,23824,62
2014,"Bills",2700000,"Fred Jackson","running-back",0.625523714473296,1828827.04054054,635608.5,13400000,18900,74
2015,"Seahawks",9e+05,"Fred Jackson","running-back",0.730502515908626,1830908.51807229,577133,31700000,6600,83
2013,"Bengals",2605612,"Giovani Bernard","running-back",0.6359481531057,1911776.61333333,717300,1.9e+07,0,75
2014,"Bengals",643788,"Giovani Bernard","running-back",0.615375697736566,1625021.07594937,643788,18086027,18900,79
2015,"Bengals",882576,"Giovani Bernard","running-back",0.632658413380998,2087732.21917808,882576,26750000,0,73
2016,"Bengals",6321364,"Giovani Bernard","running-back",0.618991025976456,2054715.16,675000,10700000,26471,75
2017,"Bengals",3e+06,"Giovani Bernard","running-back",0.673927181055319,1984732.80246914,638000,14968750,7200,81
2018,"Bengals",3450000,"Giovani Bernard","running-back",0.711592305505476,2210254.15662651,630000,25500000,15200,83
2019,"Bengals",5900000,"Giovani Bernard","running-back",0.660870015633993,2533120.64473684,720000,16200000,16000,76
2020,"Bengals",4100000,"Giovani Bernard","running-back",0.695544295078113,2615991.50588235,750000,24490100,8400,85
2009,"Texans",495000,"James Casey","running-back",0.611705390463636,4048259.54545455,1632500,1.7e+07,127647,22
2010,"Texans",395000,"James Casey","running-back",0.600618857843189,2887274.1,954300,14500000,110588,30
2011,"Texans",525000,"James Casey","running-back",0.613029901007535,2944943.07317073,8e+05,1.8e+07,123529,41
2012,"Texans",615000,"James Casey","running-back",0.684094369821074,2728894.24528302,715000,22450000,57000,53
2013,"Eagles",4015000,"James Casey","running-back",0.605973799428385,2177056.56521739,725000,13223620,12000,69
2014,"Eagles",3985000,"James Casey","running-back",0.589596127002213,2008595.47058824,740000,1.2e+07,50000,85
2017,"Chargers",470000,"Austin Ekeler","running-back",0.696746788359667,1807181.88505747,615000,22750000,7200,87
2018,"Chargers",555000,"Austin Ekeler","running-back",0.676709959258604,1874402.77906977,630000,1.5e+07,7600,86
2019,"Chargers",645000,"Austin Ekeler","running-back",0.674723420693439,1928206.82758621,645000,1.7e+07,24000,87
2020,"Chargers",9500000,"Austin Ekeler","running-back",0.725347013098427,2819258.04651163,732118,4.3e+07,16800,86
2017,"Chiefs",1240952,"Kareem Hunt","running-back",0.697390716125705,1934379.80434783,690000,20900000,0,92
2018,"Chiefs",0,"Kareem Hunt","running-back",0.666330373088218,2224659.55813953,646691,21800000,0,86
2019,"Browns",596471,"Kareem Hunt","running-back",0.681450499387873,2283753.65853659,645000,16750000,8000,82
2020,"Browns",4009000,"Kareem Hunt","running-back",0.716837939832287,2321260.35483871,675000,21862125,0,93
2013,"Raiders",394200,"Latavius Murray","running-back",0.560287311492212,1344883.8,555000,9500000,28441,70
2014,"Raiders",420000,"Latavius Murray","running-back",0.63078242201629,1469983.06976744,570000,12323272,6300,86
2015,"Raiders",585000,"Latavius Murray","running-back",0.640699873814228,1667718.46987952,660000,15177268,6600,83
2016,"Raiders",675000,"Latavius Murray","running-back",0.658697176818391,2100413.9375,675000,13500000,0,80
2017,"Vikings",4250000,"Latavius Murray","running-back",0.691586048848528,2382499.71604938,690000,20026000,21600,81
2018,"Vikings",4e+06,"Latavius Murray","running-back",0.698175197916539,2614153.20930233,630000,2.6e+07,38000,86
2019,"Saints",4400000,"Latavius Murray","running-back",0.68594487498677,2495279.9,703976,2.3e+07,8000,80
2020,"Saints",3200000,"Latavius Murray","running-back",0.696379139982879,2714388.97802198,809000,2.5e+07,0,91
2015,"Browns",1145092,"Duke Johnson","running-back",0.642443920380867,1776761.03370787,585000,10400000,0,89
2016,"Browns",555000,"Duke Johnson","running-back",0.624398483641436,1208531.26086957,543500,10200000,0,92
2017,"Browns",652500,"Duke Johnson","running-back",0.747233321931605,2030423.66666667,540000,20723004,7200,84
2018,"Browns",5967000,"Duke Johnson","running-back",0.718904707681929,2582567.81176471,630000,22329440,15200,85
2019,"Texans",2200000,"Duke Johnson","running-back",0.622645678150333,2342500.83908046,871522,13750000,0,87
2020,"Texans",3975000,"Duke Johnson","running-back",0.70446090220846,2753477.04347826,750000,29354247,24000,92
2007,"Raiders",689900,"Michael Bush","running-back",0.375235296660795,1686020,1350000,4900000,360000,11
2008,"Raiders",295000,"Michael Bush","running-back",0.590211899260153,5562514.83333333,2562500,20275000,17353,12
2009,"Raiders",460000,"Michael Bush","running-back",0.632135656560769,4008468.47368421,1910000,20417500,36471,19
2010,"Raiders",550000,"Michael Bush","running-back",0.64107839608462,3116518.66666667,1025422.5,16592000,282353,24
2011,"Raiders",2611000,"Michael Bush","running-back",0.600287252339593,2728381.29411765,1070688,16250000,370588,34
2012,"Bears",5e+06,"Michael Bush","running-back",0.580810499833908,1946920.95555556,835200,9800000,0,45
2013,"Bears",2550000,"Michael Bush","running-back",0.623661217309012,2331588.95081967,765609,13200000,36000,61
2017,"Bears",1098156,"Tarik Cohen","running-back",0.683145301322382,1973244.58888889,665774,19719500,7200,90
2018,"Bears",555000,"Tarik Cohen","running-back",0.687367505173912,2801152.7012987,733660,4.1e+07,38000,77
2019,"Bears",645000,"Tarik Cohen","running-back",0.663573246273035,2001553.2962963,645000,15500000,16000,81
2020,"Bears",8133000,"Tarik Cohen","running-back",0.682171704250278,2247850.96703297,750000,18500000,8400,91
2013,"Broncos",417500,"C.J. Anderson","running-back",0.635576229912459,2024289.69230769,771000,2.5e+07,36000,65
2014,"Broncos",495000,"C.J. Anderson","running-back",0.691319576067967,1813055.41333333,570000,1.5e+07,12600,75
2015,"Broncos",585000,"C.J. Anderson","running-back",0.673092862079873,2093887.13513514,688235.5,2.2e+07,0,74
2016,"Broncos",6e+06,"C.J. Anderson","running-back",0.731308520712263,2163576.18518519,550356,25500000,0,81
2017,"Broncos",3e+06,"C.J. Anderson","running-back",0.691453517663339,1916189.39325843,615000,16500000,0,89
2018,"Rams",92941,"C.J. Anderson","running-back",0.736093581528408,2899419.14285714,630000,40892000,0,77
2011,"Patriots",1392200,"Shane Vereen","running-back",0.650414018805733,2262350.26666667,931000,21500000,22059,30
2012,"Patriots",532325,"Shane Vereen","running-back",0.608529893302359,2385017.74358974,929800,13350000,22941,39
2013,"Patriots",689650,"Shane Vereen","running-back",0.666951571774815,1822439.88405797,642984,3.1e+07,0,69
2014,"Patriots",846975,"Shane Vereen","running-back",0.608563712553925,1332517.4125,570000,1.2e+07,0,80
2015,"Giants",4850000,"Shane Vereen","running-back",0.71981571291886,1794158.90217391,527500,3.7e+07,6600,92
2016,"Giants",3750000,"Shane Vereen","running-back",0.703857060303257,2094465.46341463,688774,2.9e+07,6900,82
2017,"Giants",3450000,"Shane Vereen","running-back",0.711157059354585,1772409.44554455,540000,22500000,7200,101
2014,"49ers",1417584,"Carlos Hyde","running-back",0.610321436923257,1634587.37078652,629895,13073766,6300,89
2015,"49ers",587349,"Carlos Hyde","running-back",0.64006279379408,1404957.07142857,570838,11925000,6600,84
2016,"49ers",754698,"Carlos Hyde","running-back",0.668932705113976,1606868.57446809,627500,14300000,13800,94
2017,"49ers",922047,"Carlos Hyde","running-back",0.703326080724285,1685760.88888889,588235,19080912,14400,99
2018,"Jaguars",1195588,"Carlos Hyde","running-back",0.731448001298558,2319927.48351648,630000,2e+07,0,91
2019,"Texans",1900000,"Carlos Hyde","running-back",0.622645678150333,2342500.83908046,871522,13750000,0,87
2020,"Seahawks",2562500,"Carlos Hyde","running-back",0.659513157337789,2059969.76923077,750000,1.8e+07,0,91
2017,"Seahawks",440669,"Chris Carson","running-back",0.67566832016162,1913553.89473684,615000,13182817,14400,95
2018,"Seahawks",555000,"Chris Carson","running-back",0.67928276647859,2065097.40909091,630000,15500000,0,88
2019,"Seahawks",645000,"Chris Carson","running-back",0.732804848933881,2674001.7826087,720000,7e+07,0,92
2020,"Seahawks",2133000,"Chris Carson","running-back",0.659513157337789,2059969.76923077,750000,1.8e+07,0,91
2011,"Eagles",563880,"Dion Lewis","running-back",0.64207320373313,2530548.42857143,776804,2e+07,66176,42
2012,"Eagles",465000,"Dion Lewis","running-back",0.628818534159879,2925440.11764706,825000,1.6e+07,34200,51
2013,"Browns",555000,"Dion Lewis","running-back",0.676796048394682,1676878.46376812,555000,1.3e+07,32647,69
2015,"Patriots",1073471,"Dion Lewis","running-back",0.67650088470837,1673015.93181818,639375,17937500,6600,88
2016,"Patriots",1e+06,"Dion Lewis","running-back",0.640532314606896,1941340.61842105,705859,28764706,6900,76
2017,"Patriots",1400000,"Dion Lewis","running-back",0.648397415409914,1949163.11111111,826812,22906250,0,90
2018,"Titans",6e+06,"Dion Lewis","running-back",0.670596463624564,2368600.28571429,776229,19500000,0,84
2019,"Titans",4300000,"Dion Lewis","running-back",0.676538734104881,2828317.98795181,786077,20922000,8000,83
2020,"Giants",1550000,"Dion Lewis","running-back",0.686391382476286,2392617.51764706,750000,21694064,0,85
2011,"Saints",4269000,"Mark Ingram","running-back",0.531994994226629,2413564.67647059,1046661.5,1e+07,62700,34
2012,"Saints",712125,"Mark Ingram","running-back",0.664939933177982,3125487.60416667,719276,4e+07,32941,48
2013,"Saints",1049250,"Mark Ingram","running-back",0.589855287254409,1644241.58571429,727500,1e+07,0,70
2014,"Saints",1386375,"Mark Ingram","running-back",0.675109136285132,1548157.75949367,548324,1.3e+07,6300,79
2015,"Saints",4700000,"Mark Ingram","running-back",0.697129050697656,1614393.63953488,524866,1.9e+07,6600,86
2016,"Saints",3100000,"Mark Ingram","running-back",0.689975089384372,1813586.36046512,617647,31250000,0,86
2017,"Saints",3700000,"Mark Ingram","running-back",0.679080373030915,1634539.22826087,540000,1.3e+07,0,92
2018,"Saints",3558824,"Mark Ingram","running-back",0.680430529323738,2107777.27848101,630000,2.7e+07,0,79
2019,"Ravens",6e+06,"Mark Ingram","running-back",0.684183820339936,2215383.74117647,645000,2.2e+07,0,85
2020,"Ravens",4e+06,"Mark Ingram","running-back",0.713970736765477,2372442.14444444,750000,30866000,0,90
2009,"Broncos",5080000,"Knowshon Moreno","running-back",0.505054043919164,3297988.84615385,1845000,9001525,325000,13
2010,"Broncos",8440000,"Knowshon Moreno","running-back",0.584265307921298,2650877.60869565,1118500,1.3e+07,152565,23
2011,"Broncos",1e+06,"Knowshon Moreno","running-back",0.633004063699019,2672493.96666667,940000,14148000,96900,30
2012,"Broncos",855000,"Knowshon Moreno","running-back",0.62762912126446,2129350.80434783,713300,1.8e+07,91765,46
2013,"Broncos",1700000,"Knowshon Moreno","running-back",0.635576229912459,2024289.69230769,771000,2.5e+07,36000,65
2014,"Dolphins",2756250,"Knowshon Moreno","running-back",0.640950319893614,1659745.6547619,576400,15050000,6300,84
2010,"Chargers",4231000,"Ryan Mathews","running-back",0.560191511612713,3257469.94117647,1664000,12600000,280824,17
