"year","team","cash_paid","name","position","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded"
2015,"Packers",11600000,"Aaron Rodgers","quarterback",0.644244164706929,1980100.68,598791,15100000,26400,75
2016,"Packers",12600000,"Aaron Rodgers","quarterback",0.681950508379622,1821540.58441558,6e+05,16700000,0,77
2017,"Packers",13312500,"Aaron Rodgers","quarterback",0.718306347050124,2056387.56470588,540000,20650000,7200,85
2018,"Packers",66900000,"Aaron Rodgers","quarterback",0.787502805476343,2209146.39130435,555000,66900000,7600,92
2019,"Packers",29260000,"Aaron Rodgers","quarterback",0.707105902062258,3011006.35443038,661056,29260000,40000,79
2020,"Packers",7290000,"Aaron Rodgers","quarterback",0.731045408558023,2359737.36956522,699344,37052942,0,92
1989,"Cowboys",3537000,"Troy Aikman","quarterback",0,3537000,3537000,3537000,3537000,1
1990,"Cowboys",1e+06,"Troy Aikman","quarterback",0.0708154506437768,1165000,1165000,1330000,1e+06,2
1991,"Cowboys",1250000,"Troy Aikman","quarterback",0.266871165644172,815000,815000,1250000,380000,2
1992,"Cowboys",1500000,"Troy Aikman","quarterback",0.263358778625954,982500,982500,1500000,465000,2
1993,"Cowboys",10750000,"Troy Aikman","quarterback",0.105633802816901,8875000,8875000,10750000,7e+06,2
1994,"Cowboys",1750000,"Troy Aikman","quarterback",0.0569620253164557,1975000,1975000,2200000,1750000,2
1995,"Cowboys",3500000,"Troy Aikman","quarterback",0.358883079319168,5992666.66666667,3500000,12078000,2400000,3
1996,"Cowboys",4e+06,"Troy Aikman","quarterback",0.46520746175145,5497666.66666667,4e+06,12001000,492000,3
1997,"Cowboys",4500000,"Troy Aikman","quarterback",0.475864038846044,1945000,1e+06,4500000,335000,3
1998,"Cowboys",5500000,"Troy Aikman","quarterback",0.226673879442546,4292999.66666667,5500000,5878999,1500000,3
1999,"Cowboys",1.6e+07,"Troy Aikman","quarterback",0.30188679245283,8833333.33333333,6500000,1.6e+07,4e+06,3
2000,"Cowboys",2250000,"Troy Aikman","quarterback",0.173913043478261,3450000,3450000,4650000,2250000,2
2012,"Seahawks",1009472,"Russell Wilson","quarterback",0.609843392717529,2270592.45283019,540000,1e+07,5700,53
2013,"Seahawks",526217,"Russell Wilson","quarterback",0.637286277771272,1906475.52857143,555000,14500000,36000,70
2014,"Seahawks",662434,"Russell Wilson","quarterback",0.694149104863801,1588420.97701149,570000,14225000,0,87
2015,"Seahawks",31700000,"Russell Wilson","quarterback",0.730502515908626,1830908.51807229,577133,31700000,6600,83
2016,"Seahawks",12342000,"Russell Wilson","quarterback",0.715175108667845,1692534.18947368,525000,12687500,0,95
2017,"Seahawks",12600000,"Russell Wilson","quarterback",0.67566832016162,1913553.89473684,615000,13182817,14400,95
2018,"Seahawks",15500000,"Russell Wilson","quarterback",0.67928276647859,2065097.40909091,630000,15500000,0,88
2019,"Seahawks",7e+07,"Russell Wilson","quarterback",0.732804848933881,2674001.7826087,720000,7e+07,0,92
2020,"Seahawks",1.8e+07,"Russell Wilson","quarterback",0.659513157337789,2059969.76923077,750000,1.8e+07,0,91
1993,"Packers",169500,"Mark Brunell","quarterback",0.194319206492335,277250,277250,385000,169500,2
1994,"Packers",143125,"Mark Brunell","quarterback",0.469824746343392,2371562.5,2371562.5,4600000,143125,2
1995,"Jaguars",8e+05,"Mark Brunell","quarterback",0.539485652857025,2687333.33333333,8e+05,6893000,369000,3
1996,"Jaguars",950000,"Mark Brunell","quarterback",0.301236685967546,777166.666666667,950000,1217500,164000,3
1997,"Jaguars",11150000,"Mark Brunell","quarterback",0.558695259477175,4305666.66666667,1442000,11150000,325000,3
1998,"Jaguars",3e+06,"Mark Brunell","quarterback",0.142880102860816,2333250,2333250,3e+06,1666500,2
1999,"Jaguars",4600000,"Mark Brunell","quarterback",0.0615289295586693,5245500,5245500,5891000,4600000,2
2000,"Jaguars",5900000,"Mark Brunell","quarterback",0.236073856902252,4007750,4007750,5900000,2115500,2
2001,"Jaguars",8500000,"Mark Brunell","quarterback",0.208333333333333,6e+06,6e+06,8500000,3500000,2
2002,"Jaguars",6250000,"Mark Brunell","quarterback",0,6250000,6250000,6250000,6250000,1
2003,"Jaguars",6750000,"Mark Brunell","quarterback",0,6750000,6750000,6750000,6750000,1
2004,"Washington",9360000,"Mark Brunell","quarterback",0.388493680898244,7607058.66666667,9360000,13380000,81176,3
2005,"Washington",2125000,"Mark Brunell","quarterback",0.467119371215905,1356226.85714286,1190000,3540000,40588,7
2006,"Washington",4e+06,"Mark Brunell","quarterback",0.551898427412179,3260333.33333333,3585000,8910000,4700,9
2007,"Washington",2e+06,"Mark Brunell","quarterback",0.56085969501061,3039450,1938500,11410000,285000,10
2008,"Saints",2045000,"Mark Brunell","quarterback",0.619749064429754,2562341,482500,12700000,104706,16
2009,"Saints",1395000,"Mark Brunell","quarterback",0.589851727016424,2444106.75,1470000,10001000,18235,20
2010,"Jets",1500000,"Mark Brunell","quarterback",0.580690892425616,2906120.2173913,1345000,16455000,240000,23
2011,"Jets",0,"Mark Brunell","quarterback",0.704588615301716,3332619.63636364,559248,2.5e+07,0,33
1993,"Patriots",5525000,"Drew Bledsoe","quarterback",0,5525000,5525000,5525000,5525000,1
1994,"Patriots",1281250,"Drew Bledsoe","quarterback",0,1281250,1281250,1281250,1281250,1
1995,"Patriots",13900000,"Drew Bledsoe","quarterback",0.558543975428548,5354000,1719000,13900000,443000,3
1996,"Patriots",1500000,"Drew Bledsoe","quarterback",0.466894009997458,590150,362800,1500000,135000,4
1997,"Patriots",2700000,"Drew Bledsoe","quarterback",0.530594265577447,936450,435400,2700000,175000,4
1998,"Patriots",4500000,"Drew Bledsoe","quarterback",0.600980182872594,1405350,481700,4500000,158000,4
1999,"Patriots",5260000,"Drew Bledsoe","quarterback",0.421473981634095,7078333.33333333,5260000,14700000,1275000,3
2000,"Patriots",6340000,"Drew Bledsoe","quarterback",0.542470984859359,2266036.75,1246323.5,6340000,231500,4
2001,"Patriots",11400000,"Drew Bledsoe","quarterback",0.508488995746255,4325600,3250000,11400000,328000,5
2002,"Bills",5e+06,"Drew Bledsoe","quarterback",0.0249343832020997,4762500,4762500,5e+06,4525000,2
2003,"Bills",5500000,"Drew Bledsoe","quarterback",0.47962154294032,2442666.66666667,1600000,5500000,228000,3
2004,"Bills",8750000,"Drew Bledsoe","quarterback",0.699579870634727,2014485.33333333,260221,8750000,108235,6
2005,"Cowboys",4e+06,"Drew Bledsoe","quarterback",0.446081703898231,1543309.57142857,7e+05,4e+06,380000,7
2006,"Cowboys",4e+06,"Drew Bledsoe","quarterback",0.600227388565234,2040200.84615385,887500,7510000,102941,13
1985,"Buccaneers",1342000,"Steve Young","quarterback",0,1342000,1342000,1342000,1342000,1
1986,"Buccaneers",350000,"Steve Young","quarterback",0,350000,350000,350000,350000,1
1987,"49ers",5e+05,"Steve Young","quarterback",0.15359477124183,382500,382500,5e+05,265000,2
1988,"49ers",7e+05,"Steve Young","quarterback",0.0757575757575757,825000,825000,950000,7e+05,2
1989,"49ers",9e+05,"Steve Young","quarterback",0.0135135135135135,925000,925000,950000,9e+05,2
1990,"49ers",1100000,"Steve Young","quarterback",0.0769230769230769,1300000,1300000,1500000,1100000,2
1991,"49ers",1980000,"Steve Young","quarterback",0.142857142857143,1540000,1540000,1980000,1100000,2
1992,"49ers",2500000,"Steve Young","quarterback",0.0882352941176471,2125000,2125000,2500000,1750000,2
1993,"49ers",8250000,"Steve Young","quarterback",0.179012345679012,6075000,6075000,8250000,3900000,2
1994,"49ers",4025000,"Steve Young","quarterback",0.362563498946847,2017750,1942000,4025000,162000,4
1995,"49ers",4e+06,"Steve Young","quarterback",0.147773279352227,3087500,3087500,4e+06,2175000,2
1996,"49ers",4475000,"Steve Young","quarterback",0.0558312655086849,5037500,5037500,5600000,4475000,2
1997,"49ers",3e+06,"Steve Young","quarterback",0.138297872340426,2350000,2350000,3e+06,1700000,2
1998,"49ers",9500000,"Steve Young","quarterback",0.155172413793103,7250000,7250000,9500000,5e+06,2
1999,"49ers",6750000,"Steve Young","quarterback",0.155339805825243,5150000,5150000,6750000,3550000,2
2004,"Steelers",2002000,"Ben Roethlisberger","quarterback",0.522329830614805,1594000,890000,4455000,230000,8
2005,"Steelers",9494000,"Ben Roethlisberger","quarterback",0.644071992984381,1886312.81818182,656000,9494000,23500,11
2006,"Steelers",2582000,"Ben Roethlisberger","quarterback",0.397372095561014,2142113.42857143,1811500,5585000,145588,14
2007,"Steelers",2140500,"Ben Roethlisberger","quarterback",0.541249363082508,2327929.41176471,1399000,11575000,360000,17
2008,"Steelers",27700000,"Ben Roethlisberger","quarterback",0.647559682391333,3506088.23529412,1417000,27700000,370000,17
2009,"Steelers",7750000,"Ben Roethlisberger","quarterback",0.593375354003724,3232246.875,1121337.5,13350000,0,24
2010,"Steelers",6155882,"Ben Roethlisberger","quarterback",0.536144922217162,2669394.65384615,1282000,9248000,0,26
2011,"Steelers",11600000,"Ben Roethlisberger","quarterback",0.632702517853065,3407020.19444444,838100,18100000,0,36
2012,"Steelers",11600000,"Ben Roethlisberger","quarterback",0.614965389087963,2396792.97916667,755562.5,15650000,0,48
2013,"Steelers",11600000,"Ben Roethlisberger","quarterback",0.604642698265486,1520887.43661972,630000,11600000,0,71
2014,"Steelers",12100000,"Ben Roethlisberger","quarterback",0.639691094952282,1978751.5,795000,1.4e+07,18900,70
2015,"Steelers",35250000,"Ben Roethlisberger","quarterback",0.669460262516779,1854513.13793103,745000,35250000,30000,87
2016,"Steelers",17750000,"Ben Roethlisberger","quarterback",0.690224691786732,1769544.94117647,6e+05,18070000,0,85
2017,"Steelers",1.2e+07,"Ben Roethlisberger","quarterback",0.660652175195525,2252210.09459459,625385.5,19910000,0,74
2018,"Steelers",1.7e+07,"Ben Roethlisberger","quarterback",0.662199926516363,2181273.65853659,673358.5,1.7e+07,0,82
2019,"Steelers",4.5e+07,"Ben Roethlisberger","quarterback",0.725590404037368,2614121.96296296,658267,4.5e+07,8000,81
2020,"Steelers",2.1e+07,"Ben Roethlisberger","quarterback",0.690620506803624,2154448.51724138,750000,21750000,0,87
2016,"Rams",18968308,"Jared Goff","quarterback",0.704348514775152,1712812.57647059,575575,18968308,0,85
2017,"Rams",1719894,"Jared Goff","quarterback",0.690790563606576,2107970.53947368,639602,16742400,7200,76
2018,"Rams",2989788,"Jared Goff","quarterback",0.736093581528408,2899419.14285714,630000,40892000,0,77
2019,"Rams",2.6e+07,"Jared Goff","quarterback",0.714148416541853,2370825.72727273,645000,27459000,24000,77
2020,"Rams",31042682,"Jared Goff","quarterback",0.724332517273533,2513283.4375,686204,31042682,25200,80
1998,"Colts",11744000,"Peyton Manning","quarterback",0.505443915015077,4827000,1972000,11744000,765000,3
1999,"Colts",1430000,"Peyton Manning","quarterback",0.115715823466093,1161250,1161250,1430000,892500,2
2000,"Colts",11066000,"Peyton Manning","quarterback",0.0189950447709293,11503000,11503000,11940000,11066000,2
2001,"Colts",4452000,"Peyton Manning","quarterback",0.335540838852097,2617333.33333333,2900000,4452000,5e+05,3
2002,"Colts",6298000,"Peyton Manning","quarterback",0.323844378740896,3466750,3472000,6298000,625000,4
2003,"Colts",11324000,"Peyton Manning","quarterback",0.50752688172043,4050150,3325000,11324000,351750,5
2004,"Colts",35035000,"Peyton Manning","quarterback",0.663762628676257,9573153,1375000,35035000,305000,5
2005,"Colts",665000,"Peyton Manning","quarterback",0.538058698784258,3431833.33333333,1232500,9081000,380000,6
2006,"Colts",1e+07,"Peyton Manning","quarterback",0.460525790613755,6279033.33333333,5150000,15100000,344000,9
2007,"Colts",1.1e+07,"Peyton Manning","quarterback",0.544935213315676,4754444.44444444,3380000,15750000,360000,9
2008,"Colts",11500000,"Peyton Manning","quarterback",0.623063089117666,3755230.38461538,939000,15750000,138823,13
2009,"Colts",1.4e+07,"Peyton Manning","quarterback",0.603376333405495,2617566.66666667,988500,1.4e+07,385000,15
2010,"Colts",15800000,"Peyton Manning","quarterback",0.652328149980914,2807401.63636364,1067500,15800000,83200,22
2011,"Colts",26400000,"Peyton Manning","quarterback",0.696530827674152,2312525.43243243,525000,26400000,0,37
2012,"Broncos",1.8e+07,"Peyton Manning","quarterback",0.62762912126446,2129350.80434783,713300,1.8e+07,91765,46
2013,"Broncos",2.5e+07,"Peyton Manning","quarterback",0.635576229912459,2024289.69230769,771000,2.5e+07,36000,65
2014,"Broncos",1.5e+07,"Peyton Manning","quarterback",0.691319576067967,1813055.41333333,570000,1.5e+07,12600,75
2015,"Broncos",1.9e+07,"Peyton Manning","quarterback",0.673092862079873,2093887.13513514,688235.5,2.2e+07,0,74
2016,"Eagles",18050972,"Carson Wentz","quarterback",0.689568457228821,2737490.01149425,675000,27299000,26471,87
2017,"Eagles",1662561,"Carson Wentz","quarterback",0.617654360404874,2416378.25,842500,16250000,7200,84
2018,"Eagles",2875122,"Carson Wentz","quarterback",0.642193704447163,2176567.27058824,697059,11500000,10000,85
