team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Patriots,14,2,0,0.875,437,260,177,8 - 0 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,2W,4 - 1 - 0,2004
Browns,4,12,0,0.250,276,390,-114,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2004
Bengals,8,8,0,0.500,374,372,2,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,4 - 0 - 0,2W,3 - 2 - 0,2004
Ravens,9,7,0,0.563,317,268,49,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,3 - 1 - 0,1W,2 - 3 - 0,2004
Steelers,15,1,0,0.938,372,251,121,8 - 0 - 0,7 - 1 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,4 - 0 - 0,14W,5 - 0 - 0,2004
Raiders,5,11,0,0.313,320,442,-122,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,2L,1 - 4 - 0,2004
Chiefs,7,9,0,0.438,483,435,48,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,1L,4 - 1 - 0,2004
Broncos,10,6,0,0.625,381,304,77,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,2W,3 - 2 - 0,2004
Chargers,12,4,0,0.750,446,313,133,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1W,4 - 1 - 0,2004
Titans,5,11,0,0.313,344,439,-95,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1W,1 - 4 - 0,2004
Texans,7,9,0,0.438,309,339,-30,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,1L,2 - 3 - 0,2004
Jaguars,9,7,0,0.563,261,280,-19,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,1W,3 - 2 - 0,2004
Colts,12,4,0,0.750,522,351,171,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,4 - 0 - 0,1L,4 - 1 - 0,2004
49ers,4,12,0,0.250,239,428,-189,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,2W,2 - 3 - 0,2005
Rams,6,10,0,0.375,363,429,-66,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,3 - 1 - 0,1W,1 - 4 - 0,2005
Cardinals,5,11,0,0.313,311,387,-76,3 - 5 - 0,2 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0,2005
Seahawks,13,3,0,0.813,452,271,181,8 - 0 - 0,5 - 3 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,1L,4 - 1 - 0,2005
Saints,3,13,0,0.188,235,398,-163,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,5L,0 - 5 - 0,2005
Falcons,8,8,0,0.500,351,341,10,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,3L,1 - 4 - 0,2005
Panthers,11,5,0,0.688,391,259,132,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0,2005
Buccaneers,11,5,0,0.688,300,274,26,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,2 - 2 - 0,2W,4 - 1 - 0,2005
Lions,5,11,0,0.313,254,345,-91,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1L,1 - 4 - 0,2005
Packers,4,12,0,0.250,298,344,-46,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 4 - 0,1W,2 - 3 - 0,2005
Vikings,9,7,0,0.563,306,344,-38,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0,2005
Bears,11,5,0,0.688,260,202,58,7 - 1 - 0,4 - 4 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,1 - 3 - 0,1L,3 - 2 - 0,2005
Eagles,6,10,0,0.375,310,388,-78,4 - 4 - 0,2 - 6 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,3 - 1 - 0,2L,1 - 4 - 0,2005
Cowboys,9,7,0,0.563,325,308,17,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2005
Giants,11,5,0,0.688,422,314,108,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,4 - 1 - 0,2005
Washington,10,6,0,0.625,359,293,66,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,0 - 4 - 0,5W,5 - 0 - 0,2005
Texans,2,14,0,0.125,260,431,-171,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,2L,1 - 4 - 0,2005
Titans,4,12,0,0.250,299,421,-122,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,3L,1 - 4 - 0,2005
Jaguars,12,4,0,0.750,361,269,92,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,3W,4 - 1 - 0,2005
Colts,14,2,0,0.875,439,247,192,7 - 1 - 0,7 - 1 - 0,6 - 0 - 0,1.000,11 - 1 - 0,0.917,3 - 1 - 0,1W,3 - 2 - 0,2005
Raiders,4,12,0,0.250,290,383,-93,2 - 6 - 0,2 - 6 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 2 - 0,6L,0 - 5 - 0,2005
Chargers,9,7,0,0.563,418,312,106,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2L,2 - 3 - 0,2005
Chiefs,10,6,0,0.625,403,325,78,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,2W,3 - 2 - 0,2005
Broncos,13,3,0,0.813,395,258,137,8 - 0 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,4W,4 - 1 - 0,2005
Jets,4,12,0,0.250,240,355,-115,4 - 4 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,2 - 3 - 0,2005
Bills,5,11,0,0.313,271,367,-96,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,1L,1 - 4 - 0,2005
Dolphins,9,7,0,0.563,318,317,1,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,6W,5 - 0 - 0,2005
Patriots,10,6,0,0.625,379,338,41,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0,2005
Ravens,6,10,0,0.375,265,299,-34,6 - 2 - 0,0 - 8 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1L,3 - 2 - 0,2005
Browns,6,10,0,0.375,232,301,-69,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2005
Bengals,11,5,0,0.688,421,350,71,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,4 - 0 - 0,2L,3 - 2 - 0,2005
Steelers,11,5,0,0.688,389,258,131,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,4W,4 - 1 - 0,2005
Cardinals,5,11,0,0.313,314,389,-75,3 - 5 - 0,2 - 6 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,0 - 4 - 0,1L,3 - 2 - 0,2006
49ers,7,9,0,0.438,298,412,-114,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1W,2 - 3 - 0,2006
Rams,8,8,0,0.500,367,381,-14,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 2 - 0,3W,3 - 2 - 0,2006
Seahawks,9,7,0,0.563,335,341,-6,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,2 - 3 - 0,2006
Lions,3,13,0,0.188,305,398,-93,2 - 6 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,1 - 3 - 0,1W,1 - 4 - 0,2006
Vikings,6,10,0,0.375,282,327,-45,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,0 - 4 - 0,3L,1 - 4 - 0,2006
Packers,8,8,0,0.500,301,366,-65,3 - 5 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,4W,4 - 1 - 0,2006
Bears,13,3,0,0.813,427,255,172,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,2 - 2 - 0,1L,4 - 1 - 0,2006
Buccaneers,4,12,0,0.250,211,353,-142,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 2 - 0,1L,1 - 4 - 0,2006
Falcons,7,9,0,0.438,292,328,-36,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0,2006
Panthers,8,8,0,0.500,270,305,-35,4 - 4 - 0,4 - 4 - 0,5 - 1 - 0,0.833,6 - 6 - 0,0.500,2 - 2 - 0,2W,2 - 3 - 0,2006
Saints,10,6,0,0.625,413,322,91,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,1L,3 - 2 - 0,2006
Washington,5,11,0,0.313,307,376,-69,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,2L,1 - 4 - 0,2006
Cowboys,9,7,0,0.563,425,350,75,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,2L,2 - 3 - 0,2006
Giants,8,8,0,0.500,355,362,-7,3 - 5 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1W,2 - 3 - 0,2006
Eagles,10,6,0,0.625,398,328,70,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,1 - 3 - 0,5W,5 - 0 - 0,2006
Raiders,2,14,0,0.125,168,332,-164,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,9L,0 - 5 - 0,2006
Chiefs,9,7,0,0.563,331,315,16,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,4 - 0 - 0,2W,2 - 3 - 0,2006
Broncos,9,7,0,0.563,319,305,14,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,1 - 3 - 0,1L,2 - 3 - 0,2006
Chargers,14,2,0,0.875,492,303,189,8 - 0 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,10W,5 - 0 - 0,2006
Browns,4,12,0,0.250,238,356,-118,2 - 6 - 0,2 - 6 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,1 - 3 - 0,4L,1 - 4 - 0,2006
Steelers,8,8,0,0.500,353,315,38,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,1W,4 - 1 - 0,2006
Bengals,8,8,0,0.500,373,331,42,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0,2006
Ravens,13,3,0,0.813,353,201,152,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,4W,4 - 1 - 0,2006
Dolphins,6,10,0,0.375,260,283,-23,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,3 - 1 - 0,3L,1 - 4 - 0,2006
Bills,7,9,0,0.438,300,311,-11,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2L,2 - 3 - 0,2006
Jets,10,6,0,0.625,316,295,21,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,3W,4 - 1 - 0,2006
Patriots,12,4,0,0.750,385,237,148,5 - 3 - 0,7 - 1 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,3W,4 - 1 - 0,2006
Jaguars,8,8,0,0.500,371,274,97,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,3L,2 - 3 - 0,2006
Titans,8,8,0,0.500,324,400,-76,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,3 - 1 - 0,1L,4 - 1 - 0,2006
Texans,6,10,0,0.375,267,366,-99,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,0 - 4 - 0,2W,3 - 2 - 0,2006
Colts,12,4,0,0.750,427,360,67,8 - 0 - 0,4 - 4 - 0,3 - 3 - 0,0.500,9 - 3 - 0,0.750,3 - 1 - 0,1W,2 - 3 - 0,2006
Seahawks,10,6,0,0.625,393,291,102,7 - 1 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0,2007
Cardinals,8,8,0,0.500,404,399,5,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0,2007
49ers,5,11,0,0.313,219,364,-145,3 - 5 - 0,2 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0,2007
Rams,3,13,0,0.188,263,438,-175,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 4 - 0,4L,1 - 4 - 0,2007
Buccaneers,9,7,0,0.563,334,270,64,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,2L,2 - 3 - 0,2007
Panthers,7,9,0,0.438,267,347,-80,2 - 6 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,0 - 4 - 0,1W,3 - 2 - 0,2007
Saints,7,9,0,0.438,379,388,-9,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2L,2 - 3 - 0,2007
Falcons,4,12,0,0.250,259,414,-155,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2007
Packers,13,3,0,0.813,435,291,144,7 - 1 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,4 - 0 - 0,1W,3 - 2 - 0,2007
Vikings,8,8,0,0.500,365,311,54,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2L,3 - 2 - 0,2007
Lions,7,9,0,0.438,346,444,-98,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,3 - 1 - 0,1L,1 - 4 - 0,2007
Bears,7,9,0,0.438,334,348,-14,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,2W,2 - 3 - 0,2007
Cowboys,13,3,0,0.813,455,325,130,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,3 - 1 - 0,1L,3 - 2 - 0,2007
Giants,10,6,0,0.625,373,351,22,3 - 5 - 0,7 - 1 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0,2007
Washington,9,7,0,0.563,334,310,24,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,4W,4 - 1 - 0,2007
Eagles,8,8,0,0.500,336,300,36,3 - 5 - 0,5 - 3 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,3W,3 - 2 - 0,2007
Patriots,16,0,0,1.000,589,274,315,8 - 0 - 0,8 - 0 - 0,6 - 0 - 0,1.000,12 - 0 - 0,1.000,4 - 0 - 0,16W,5 - 0 - 0,2007
Bills,7,9,0,0.438,252,354,-102,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,3L,2 - 3 - 0,2007
Jets,4,12,0,0.250,268,355,-87,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 4 - 0,1W,2 - 3 - 0,2007
Dolphins,1,15,0,0.063,267,437,-170,1 - 7 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,0 - 4 - 0,2L,1 - 4 - 0,2007
Steelers,10,6,0,0.625,393,269,124,7 - 1 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,3 - 1 - 0,1L,2 - 3 - 0,2007
Browns,10,6,0,0.625,402,382,20,7 - 1 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1W,3 - 2 - 0,2007
Bengals,7,9,0,0.438,380,385,-5,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2W,3 - 2 - 0,2007
Ravens,5,11,0,0.313,275,384,-109,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,3 - 1 - 0,1W,1 - 4 - 0,2007
Chargers,11,5,0,0.688,412,284,128,7 - 1 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,2 - 2 - 0,6W,5 - 0 - 0,2007
Broncos,7,9,0,0.438,320,409,-89,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,1W,2 - 3 - 0,2007
Chiefs,4,12,0,0.250,226,335,-109,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,9L,0 - 5 - 0,2007
Raiders,4,12,0,0.250,283,398,-115,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 4 - 0,4L,1 - 4 - 0,2007
Colts,13,3,0,0.813,450,262,188,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,4 - 0 - 0,1L,4 - 1 - 0,2007
Jaguars,11,5,0,0.688,411,304,107,6 - 2 - 0,5 - 3 - 0,2 - 4 - 0,0.333,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0,2007
Titans,10,6,0,0.625,301,297,4,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,3W,4 - 1 - 0,2007
Texans,8,8,0,0.500,379,384,-5,6 - 2 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,3 - 1 - 0,1W,3 - 2 - 0,2007
Cardinals,9,7,0,0.563,427,426,1,6 - 2 - 0,3 - 5 - 0,6 - 0 - 0,1.000,7 - 5 - 0,0.583,2 - 2 - 0,1W,2 - 3 - 0,2008
49ers,7,9,0,0.438,339,381,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2W,4 - 1 - 0,2008
Seahawks,4,12,0,0.250,294,392,-98,2 - 6 - 0,2 - 6 - 0,3 - 3 - 0,0.500,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0,2008
Rams,2,14,0,0.125,232,465,-233,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,0 - 4 - 0,10L,0 - 5 - 0,2008
Vikings,10,6,0,0.625,379,333,46,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1W,4 - 1 - 0,2008
Bears,9,7,0,0.563,375,350,25,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2008
Packers,6,10,0,0.375,419,380,39,4 - 4 - 0,2 - 6 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,1 - 3 - 0,1W,1 - 4 - 0,2008
Lions,0,16,0,0.000,268,517,-249,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0.000,0 - 12 - 0,0.000,0 - 4 - 0,16L,0 - 5 - 0,2008
Panthers,12,4,0,0.750,414,329,85,8 - 0 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,1W,4 - 1 - 0,2008
Falcons,11,5,0,0.688,391,325,66,7 - 1 - 0,4 - 4 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,3W,4 - 1 - 0,2008
Buccaneers,9,7,0,0.563,361,323,38,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,1 - 3 - 0,4L,1 - 4 - 0,2008
Saints,8,8,0,0.500,463,393,70,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0,2008
Giants,12,4,0,0.750,427,294,133,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,1L,2 - 3 - 0,2008
Eagles,9,6,1,0.594,416,289,127,6 - 2 - 0,3 - 4 - 1,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 1 - 1,1W,4 - 1 - 0,2008
Cowboys,9,7,0,0.563,362,365,-3,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2L,2 - 3 - 0,2008
Washington,8,8,0,0.500,265,296,-31,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1L,1 - 4 - 0,2008
Chargers,8,8,0,0.500,439,347,92,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,4W,4 - 1 - 0,2008
Broncos,8,8,0,0.500,370,448,-78,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,3L,2 - 3 - 0,2008
Raiders,5,11,0,0.313,263,388,-125,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,2 - 3 - 0,2008
Chiefs,2,14,0,0.125,291,440,-149,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,4L,1 - 4 - 0,2008
Steelers,12,4,0,0.750,347,223,124,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,2 - 2 - 0,1W,4 - 1 - 0,2008
Ravens,11,5,0,0.688,385,244,141,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2008
Bengals,4,11,1,0.281,204,364,-160,3 - 4 - 1,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 2 - 1,3W,3 - 2 - 0,2008
Browns,4,12,0,0.250,232,350,-118,1 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,6L,0 - 5 - 0,2008
Titans,13,3,0,0.813,375,234,141,7 - 1 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,4 - 0 - 0,1L,3 - 2 - 0,2008
Colts,12,4,0,0.750,377,298,79,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,2 - 2 - 0,9W,5 - 0 - 0,2008
Texans,8,8,0,0.500,366,394,-28,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1W,4 - 1 - 0,2008
Jaguars,5,11,0,0.313,302,367,-65,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,2L,1 - 4 - 0,2008
Dolphins,11,5,0,0.688,345,317,28,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,5W,5 - 0 - 0,2008
Patriots,11,5,0,0.688,410,309,101,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,4W,4 - 1 - 0,2008
Jets,9,7,0,0.563,405,356,49,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,2L,1 - 4 - 0,2008
Bills,7,9,0,0.438,336,342,-6,3 - 5 - 0,4 - 4 - 0,0 - 6 - 0,0.000,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0,2008
Cardinals,10,6,0,0.625,375,325,50,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0,2009
49ers,8,8,0,0.500,330,281,49,6 - 2 - 0,2 - 6 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0,2009
Seahawks,5,11,0,0.313,280,390,-110,4 - 4 - 0,1 - 7 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2009
Rams,1,15,0,0.063,175,436,-261,0 - 8 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,0 - 4 - 0,8L,0 - 5 - 0,2009
Vikings,12,4,0,0.750,470,312,158,8 - 0 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1W,2 - 3 - 0,2009
